employee_id,attrition_label,attrition,gender,age,age_group,education,education_field,department,job_role,job_level,work_x_years,range_work_x,count_company_switches,range_company_switches,salary_hike_percent,range_salary_hike,stock_option_level,years_in_curr_role,range_years_in_curr_role,years_since_last_promotion,range_years_since_last_promotion,years_with_curr_manager
1,Ex-Employees,Yes,Female,41,35 - 44,Associates Degree,Life Sciences,Sales,Sales Executive,2,8,5-10 switches,8,6+ switches,11,11-15 %,0,4,3-6 switches,0,0-3 switches,5
2,Current Employees,No,Male,49,45 - 54,High School,Life Sciences,R&D,Research Scientist,2,10,5-10 switches,1,0-2 switches,23,21-25 %,1,7,6-9 switches,1,0-3 switches,7
4,Ex-Employees,Yes,Male,37,35 - 44,Associates Degree,Other,R&D,Laboratory Technician,1,7,5-10 switches,6,3-6 switches,15,11-15 %,0,0,0-3 switches,0,0-3 switches,0
5,Current Employees,No,Female,33,25 - 34,Master's Degree,Life Sciences,R&D,Research Scientist,1,8,5-10 switches,1,0-2 switches,11,11-15 %,0,7,6-9 switches,3,0-3 switches,0
7,Current Employees,No,Male,27,25 - 34,High School,Medical,R&D,Laboratory Technician,1,6,5-10 switches,9,6+ switches,12,11-15 %,1,2,0-3 switches,2,0-3 switches,2
8,Current Employees,No,Male,32,25 - 34,Associates Degree,Life Sciences,R&D,Laboratory Technician,1,8,5-10 switches,0,0-2 switches,13,11-15 %,0,7,6-9 switches,3,0-3 switches,6
10,Current Employees,No,Female,59,Over 55,Bachelor's Degree,Medical,R&D,Laboratory Technician,1,12,10-15 switches,4,3-6 switches,20,16-20 %,3,0,0-3 switches,0,0-3 switches,0
11,Current Employees,No,Male,30,25 - 34,High School,Life Sciences,R&D,Laboratory Technician,1,1,0-5 switches,1,0-2 switches,22,21-25 %,1,0,0-3 switches,0,0-3 switches,0
12,Current Employees,No,Male,38,35 - 44,Bachelor's Degree,Life Sciences,R&D,Manufacturing Director,3,10,5-10 switches,0,0-2 switches,21,21-25 %,0,7,6-9 switches,1,0-3 switches,8
13,Current Employees,No,Male,36,35 - 44,Bachelor's Degree,Medical,R&D,Healthcare Representative,2,17,15-20 switches,6,3-6 switches,13,11-15 %,2,7,6-9 switches,7,6-9 switches,7
14,Current Employees,No,Male,35,35 - 44,Bachelor's Degree,Medical,R&D,Laboratory Technician,1,6,5-10 switches,0,0-2 switches,13,11-15 %,1,4,3-6 switches,0,0-3 switches,3
15,Current Employees,No,Female,29,25 - 34,Associates Degree,Life Sciences,R&D,Laboratory Technician,2,10,5-10 switches,0,0-2 switches,12,11-15 %,0,5,3-6 switches,0,0-3 switches,8
16,Current Employees,No,Male,31,25 - 34,High School,Life Sciences,R&D,Research Scientist,1,5,0-5 switches,1,0-2 switches,17,16-20 %,1,2,0-3 switches,4,3-6 switches,3
18,Current Employees,No,Male,34,25 - 34,Associates Degree,Medical,R&D,Laboratory Technician,1,3,0-5 switches,0,0-2 switches,11,11-15 %,1,2,0-3 switches,1,0-3 switches,2
19,Ex-Employees,Yes,Male,28,25 - 34,Bachelor's Degree,Life Sciences,R&D,Laboratory Technician,1,6,5-10 switches,5,3-6 switches,14,11-15 %,0,2,0-3 switches,0,0-3 switches,3
20,Current Employees,No,Female,29,25 - 34,Master's Degree,Life Sciences,R&D,Manufacturing Director,3,10,5-10 switches,1,0-2 switches,11,11-15 %,1,9,6-9 switches,8,6-9 switches,8
21,Current Employees,No,Male,32,25 - 34,Associates Degree,Life Sciences,R&D,Research Scientist,1,7,5-10 switches,0,0-2 switches,12,11-15 %,2,2,0-3 switches,0,0-3 switches,5
22,Current Employees,No,Male,22,Under 25,Associates Degree,Medical,R&D,Laboratory Technician,1,1,0-5 switches,1,0-2 switches,13,11-15 %,2,0,0-3 switches,0,0-3 switches,0
23,Current Employees,No,Female,53,45 - 54,Master's Degree,Life Sciences,Sales,Manager,4,31,30-35 switches,2,0-2 switches,16,16-20 %,0,8,6-9 switches,3,0-3 switches,7
