employee_id,business_travel,business_travel_allowance_percent,business_travel_allowance_rs,performance,performance_bonus_percent,performance_bonus_rs,over_time,over_time_incentive_percent,over_time_incentive_rs,monthly_salary_rs,yearly_salary_rs,marital_status,marital_allowance_percent,marital_allowance_rs,home_distance_km,office_travel_allowance_01,office_travel_allowance_rs,years_at_company,range_years_at_company,training_months,yearly_package_rs,yearly_package_lpa,range_yearly_package
1,Rarely,2,2098.72,Average,0,0,Yes,10,10493.6,104936,1259232,Single,0,0,1,0,0,6,5-10 yrs,0,1271824.32,12.7,12-15 LPA
2,Frequently,5,4019.2,Excellent,15,144691.2,No,0,0,80384,964608,Married,5,4019.2,8,1,41600,10,5-10 yrs,3,1158937.6,11.6,9-12 LPA
4,Rarely,2,2068.96,Good,5,62068.8,Yes,10,10344.8,103448,1241376,Single,0,0,2,0,0,0,0-5 yrs,3,1315858.56,13.2,12-15 LPA
5,Frequently,5,3833.2,Average,0,0,Yes,10,7666.4,76664,919968,Married,5,3833.2,3,0,0,8,5-10 yrs,3,935300.8,9.4,9-12 LPA
7,Rarely,2,1295.2,Average,0,0,No,0,0,64760,777120,Married,5,3238,2,0,0,2,0-5 yrs,3,781653.2,7.8,6-9 LPA
8,Frequently,5,4688.8,Average,0,0,No,0,0,93776,1125312,Single,0,0,2,0,0,7,5-10 yrs,2,1130000.8,11.3,9-12 LPA
10,Rarely,2,1905.28,Good,5,57158.4,Yes,10,9526.4,95264,1143168,Married,5,4763.2,3,0,0,1,0-5 yrs,3,1216521.28,12.2,12-15 LPA
11,Rarely,2,1696.96,Excellent,15,152726.4,No,0,0,84848,1018176,Divorced,0,0,24,1,124800,1,0-5 yrs,2,1297399.36,13,12-15 LPA
12,Frequently,5,3386.8,Excellent,15,121924.8,No,0,0,67736,812832,Single,0,0,23,1,119600,9,5-10 yrs,2,1057743.6,10.6,9-12 LPA
13,Rarely,2,2098.72,Average,0,0,No,0,0,104936,1259232,Married,5,5246.8,27,0,0,7,5-10 yrs,3,1266577.52,12.7,12-15 LPA
14,Rarely,2,1949.92,Average,0,0,No,0,0,97496,1169952,Married,5,4874.8,16,0,0,5,0-5 yrs,5,1176776.72,11.8,9-12 LPA
15,Rarely,2,1429.12,Average,0,0,Yes,10,7145.6,71456,857472,Single,0,0,15,0,0,9,5-10 yrs,3,866046.72,8.7,6-9 LPA
16,Rarely,2,1161.28,Good,5,34838.4,No,0,0,58064,696768,Divorced,0,0,26,0,0,5,0-5 yrs,1,732767.68,7.3,6-9 LPA
18,Rarely,2,2083.84,Average,0,0,No,0,0,104192,1250304,Divorced,0,0,19,0,0,2,0-5 yrs,2,1252387.84,12.5,12-15 LPA
19,Rarely,2,1444,Average,0,0,Yes,10,7220,72200,866400,Single,0,0,24,0,0,4,0-5 yrs,4,875064,8.8,6-9 LPA
20,Rarely,2,1458.88,Average,0,0,No,0,0,72944,875328,Divorced,0,0,21,0,0,10,5-10 yrs,1,876786.88,8.8,6-9 LPA
21,Rarely,2,1890.4,Average,0,0,Yes,10,9452,94520,1134240,Divorced,0,0,5,0,0,6,5-10 yrs,5,1145582.4,11.5,9-12 LPA
22,No Travel,0,0,Average,0,0,Yes,10,10642.4,106424,1277088,Divorced,0,0,16,0,0,1,0-5 yrs,2,1287730.4,12.9,12-15 LPA
23,Rarely,2,1860.64,Good,5,55819.2,No,0,0,93032,1116384,Married,5,4651.6,2,0,0,25,20-25 yrs,3,1178715.44,11.8,9-12 LPA
